Respondents,Response.Date,Responses,Age
692,May 27 2020 02:28 PM,that they are lazy and dumb,74
693,May 27 2020 02:28 PM,people Think obesity is not good for general health.,34
694,May 27 2020 02:28 PM,Individuals control their diet,45
695,May 27 2020 02:27 PM,"Unhealthy, no self control, a drain on healthcare system ",64
696,May 27 2020 02:26 PM,"They are unhealthy, and subject to substantially increased medical issues, resulting in rising insurance rates for all.",50
697,May 27 2020 02:25 PM,No,39
698,May 27 2020 02:24 PM,they judge them and automatically assume they’re unhealthy. weight is not always something we can control,33
699,May 27 2020 02:24 PM,most don't care,18
700,May 27 2020 02:24 PM,Need to respect people still,41
701,May 27 2020 02:23 PM,Obesity is unhealthy,33
702,May 27 2020 02:23 PM,American is too lenient about obesity.,33
703,May 27 2020 02:22 PM,Frowned upon,73
704,May 27 2020 02:20 PM,Not healthy,58
705,May 27 2020 02:19 PM,they think they are lazy or gluttonous,73
706,May 27 2020 02:17 PM,that they have no self control,48
707,May 27 2020 02:16 PM,they aren’t fit or really fat,35
708,May 27 2020 02:16 PM,that they're disgusting and lazy,68
709,May 27 2020 02:16 PM,nuisance to public,65
710,May 27 2020 02:16 PM,They think that obese people are lazy and gross,69
711,May 27 2020 02:16 PM,I think for the most part it is frowned upon despite the majority being clinically obese.,44
712,May 27 2020 02:14 PM,"They judge, bully and harass them. They think they’re gross, offended by them.",64
713,May 27 2020 02:14 PM,People seem to think fat people are gross people who are made to be ridiculed.,26
714,May 27 2020 02:12 PM,personal choice,68
715,May 27 2020 02:12 PM,They are lazy,47
716,May 27 2020 02:12 PM,That they are lazy and don’t care.,22
717,May 27 2020 02:11 PM,they eat too much,72
718,May 27 2020 02:11 PM,gggggggggggggyyy,46
719,May 27 2020 02:10 PM,Na,19
720,May 27 2020 02:09 PM,these days most people are ok with it,18
721,May 27 2020 02:09 PM,There is a huge negative association with being overweight.,67
722,May 27 2020 02:09 PM,That they should lose weight.,61
723,May 27 2020 02:09 PM,"People think obese people are sick and gross for letting themselves get to that point, while it's not true.",56
724,May 27 2020 02:08 PM,we are despised and called weak. in spite of the fact that my mother CAUSED eating disorders starting when I could barely speak. and now I have no thyroid. weight loss is difficult.,74
725,May 27 2020 02:08 PM,they look down on overweight people,58
726,May 27 2020 02:08 PM,They think of the people as strange.,27
727,May 27 2020 02:08 PM,They eat too much and don't exercise enough. ,71
728,May 27 2020 02:08 PM,That they are lazy,60
729,May 27 2020 02:08 PM,That it’s not good for you but some people don’t care,63
730,May 27 2020 02:08 PM,Overweight and lazy,21
731,May 27 2020 02:08 PM,I believe our American society looks down on obese people. It’s very sad but true. Obese people are treated poorly and mocked because of their weight problem.,35
732,May 27 2020 02:05 PM,Typically looked down upon.,22
733,May 27 2020 02:05 PM,Theyre sick,34
734,May 27 2020 02:05 PM,I believe that they think really bad about them,31
735,May 27 2020 02:05 PM,Don’t know,28
736,May 27 2020 02:03 PM,Large ones get my swingle ,50
737,May 27 2020 02:03 PM,"In general, I believe most people believe obesity is caused by overeating, laziness, lack of control of diet, lack of exercise. ",42
738,May 27 2020 02:02 PM,people with obesity are discriminated against and made to feel bad,62
739,May 27 2020 02:02 PM,Extreme negative attitude.,48
740,May 27 2020 02:02 PM,Disgusted,30
741,May 27 2020 02:02 PM,Big problem,25
742,May 27 2020 02:01 PM,"the majority find the obese disgusting and wis they would not wear those yoga pants the are stretched to the breaking point
also sitting on a chair and seeing their fat hanging everywhere makes people sick.
when their adipose is hanging over their belt it causes real mental distress.
to top it off is a family adipose people eating at Golden Coral and hogging the ice cream station after destroying the hot bar  ",24
743,May 27 2020 02:01 PM,mixed,40
744,May 27 2020 02:01 PM,They dislike them,21
745,May 27 2020 02:00 PM,"some embrace it, but generally people think obesity is undesirable",69
746,May 27 2020 02:00 PM,I think the American public thinks that people with obesity can change if they just stop eating less or change if they want to and that is not the case. They have so much more going on in their life than that.,68
747,May 27 2020 01:56 PM,"You mean what american's think of people who happen to be obese? See my answer to #8, multiply by those who ""voted"" for the clown in the White House and you'll have your answer. ",71
748,May 27 2020 01:55 PM,I think people who are severely obese are looked down upon. I feel that people think they are lazy and care very little about themselves. ,68
749,May 27 2020 01:54 PM,We judge obesity as a personal failing,58
750,May 27 2020 01:53 PM,it concerns health,24
751,May 27 2020 01:52 PM,that they are unhealthy and in pain which is true being overweight puts pressure on your spine and bones it can cause them to snap,33
752,May 27 2020 01:51 PM,Lose weight to get healthy life,37
753,May 27 2020 01:50 PM,no comments,70
754,May 27 2020 01:50 PM,most seem disgusted,57
755,May 27 2020 01:50 PM,"Their intellect is tied to their weight. If overweight, they are a slob and undesirable. ",53
756,May 27 2020 01:50 PM,People are judged everyday if they are over weight you hear it everywhere you go. It’s sickening to hear people talk about other people based on being bigger then they think they should be.,34
757,May 27 2020 01:49 PM,more emotional stress,51
758,May 27 2020 01:46 PM,They think they’re lazy and unhealthy.,40
759,May 27 2020 01:46 PM,That it’s normal. More people are overweight in America than anything else so it’s pretty normal.,56
760,May 27 2020 01:44 PM,we're  all different shapes and sizes it's easy to judge let's support eacother  instead,72
761,May 27 2020 01:44 PM,Pretty generous about the obesity than other countries,49
762,May 27 2020 01:44 PM,Lazy people,62
763,May 27 2020 01:42 PM,They are treated with a different favorability and bias in media and advertising,21
764,May 27 2020 01:40 PM,They are lazy and no will power.,74
765,May 27 2020 01:40 PM,Obese people are lazy and do not care about their weight enough to try and control it.,74
766,May 27 2020 01:40 PM,Lazy,51
767,May 27 2020 01:40 PM,Hi,20
768,May 27 2020 01:39 PM,in many ways you are essentially a second class citizen.,40
769,May 27 2020 01:36 PM,Not good,66
770,May 27 2020 01:35 PM,they feel it means a person isn't healthy,29
771,May 27 2020 01:35 PM,not a gra,39
772,May 27 2020 01:34 PM,they think they eat only junk which is not true.,48
773,May 27 2020 01:34 PM,Negatively,62
774,May 27 2020 01:33 PM,We assume that they are lazy and do not know how to eat healthy. We treat them very poorly.,51
775,May 27 2020 01:33 PM,They make bad remarks about them. ,38
776,May 27 2020 01:33 PM,Not much since obesity seems to be normal now.,34
777,May 27 2020 01:32 PM,people are very hateful towards overweight people,75
778,May 27 2020 01:32 PM,Yes,23
779,May 27 2020 01:31 PM,No,36
780,May 27 2020 01:31 PM,Djjdjdjd,36
781,May 27 2020 01:29 PM,they are lazy,61
782,May 27 2020 01:29 PM,They are unhealthy and create their own weight and health situation.,60
783,May 27 2020 01:28 PM,that they are less intelligent,24
784,May 27 2020 01:27 PM,"In general people look to to skinny people more - they are the ""ideal'",26
785,May 27 2020 01:25 PM,the public looks down on those visibly overweight,37
786,May 27 2020 01:25 PM,No self respect and lazy,59
787,May 27 2020 01:22 PM,dont know,56
788,May 27 2020 01:21 PM,Thinks poorly of them,68
789,May 27 2020 01:20 PM,They judge people based on their weight ,69
790,May 27 2020 01:19 PM,sloppy less attractive productive,44
791,May 27 2020 01:19 PM,They are lower class people.,38
792,May 27 2020 01:19 PM,I dont think people really care about obesity in America.,57
793,May 27 2020 01:19 PM,Hot chollas,73
794,May 27 2020 01:16 PM,unsurr,55
795,May 27 2020 01:16 PM,We are looked down upon,28
796,May 27 2020 01:16 PM,That they are the issue,56
797,May 27 2020 01:13 PM,they are unhealthy and lazy,60
798,May 27 2020 01:13 PM,"WEIGHT BIAS, YOU SHOULD LOOK LIKE A MODEL OR THEY'RE AGAINST IT",42
799,May 27 2020 01:13 PM,I dont know,62
800,May 27 2020 01:09 PM,They think obesity is gross,75
801,May 27 2020 01:09 PM,Loosers,30
802,May 27 2020 01:09 PM,"Lazy, poor control",59
803,May 27 2020 01:08 PM,none,35
804,May 27 2020 01:08 PM,Judged negatively,37
805,May 27 2020 01:07 PM,They do it to themselves and can control it.,32
806,May 27 2020 01:05 PM,shames them,69
807,May 27 2020 01:03 PM,That’s it is a new normal in the U.S.,24
808,May 27 2020 01:03 PM,That they have no self-control when it comes to eating.,50
809,May 27 2020 01:03 PM,Feel that they are lazy or dumb,38
810,May 27 2020 01:02 PM,They think they’re lazy and unhealthy,33
811,May 27 2020 01:02 PM,They often make fun of them,48
812,May 27 2020 01:02 PM,They are made fun of,25
813,May 27 2020 01:02 PM,They are losers/lazy,66
814,May 27 2020 01:02 PM,Negative thoughts,68
815,May 27 2020 01:02 PM,Loathing,32
816,May 27 2020 01:02 PM,I can here a lot to,66
817,May 27 2020 01:01 PM,"looks down on them, they have no control",70
818,May 27 2020 12:59 PM,they think they are lazy and have no self control,33
819,May 27 2020 12:59 PM,I think America in general more relaxed about obesity than what we should be. It’s a huge issue that caused many issues for our society.,56
820,May 27 2020 12:58 PM,its not good,61
821,May 27 2020 12:58 PM,They are bias.,27
822,May 27 2020 12:58 PM,"Obese people are seen as ugly, lazy and gluttonous",61
823,May 27 2020 12:57 PM,People think fat people are inferior to them,41
824,May 27 2020 12:56 PM,lazy,64
825,May 27 2020 12:55 PM,some are very cruel,63
826,May 27 2020 12:55 PM,Like what I've been told just push yourself away from table.Just say no thank u.,55
827,May 27 2020 12:54 PM,"lazy, uneducated, ugly",51
828,May 27 2020 12:54 PM,That they don’t care and need help,31
829,May 27 2020 12:52 PM,looked down upon like something is wrong with you,57
830,May 27 2020 12:52 PM,They think it's disgusting,53
831,May 27 2020 12:52 PM,Gross and lazy,48
832,May 27 2020 12:51 PM,That we should be able to take care of it and it is okay to treat people like dirt,74
833,May 27 2020 12:51 PM,I think thin people look down on overweight people.,18
834,May 27 2020 12:49 PM,"Obesity is in fact unhealthy and should try to be corrected. That's not what Americans think, it's just a fact. What other people think does not matter.",34
835,May 27 2020 12:47 PM,"self-destructive, unattractive",34
836,May 27 2020 12:47 PM,That they are lazy.,24
837,May 27 2020 12:47 PM,"People think they are disgusting human beings, they automatically think “ How did they let themselves get that way “. They think those people are ugly just because they’re bigger.",31
838,May 27 2020 12:46 PM,Everything,46
839,May 27 2020 12:45 PM,"Lazy, unproductive, unattractive, less worthy, easy targets",39
840,May 27 2020 12:44 PM,I think some frown on obesity but also think it's their own responsibility healthy,56
841,May 27 2020 12:43 PM,The public opinion of obesity is that the people are just too weak to control their eating. But many in America today are over weight. ,55
842,May 27 2020 12:41 PM,"They are, in general, looked down upon.",40
843,May 27 2020 12:40 PM,people think its always a person's fault they are obese.  sometimes its medical conditions out of their control.,36
844,May 27 2020 12:39 PM,"We live in a society where I feel that obesity is an eye-sore to the general public. Though many people here in America suffer from obesity, in my opinion, the 'public eye' I refer to are primarily the media, the business/corporate world and other professional fields.",30
845,May 27 2020 12:39 PM,It’s not normal,18
846,May 27 2020 12:37 PM,They are lazy and unmotivated but that is a lens to view other obese people with - most often people whom are obese are just as guilty of weight bias it is just directed towards people who are different,56
847,May 27 2020 12:37 PM,"In general, disgusting, unattractive, not intelligent, undesirable, not sexy, and in some cases like airplanes, annoying.  Public media is tending to campaign against bias, especially as the nation becomes more and more obese.",21
848,May 27 2020 12:36 PM,"They think they are lazy, non attractive",56
849,May 27 2020 12:36 PM,That they are lazy and unhealthy,25
850,May 27 2020 12:35 PM,That they are lazy and unattractive.,33
851,May 27 2020 12:34 PM,They’re lazy,65
852,May 27 2020 12:34 PM,I think people that are overweight are looked at unfavorably. ,32
853,May 27 2020 12:33 PM,It's the norm.,70
854,May 27 2020 12:32 PM,They think that it’s bad,67
855,May 27 2020 12:32 PM,Not good usually,29
856,May 27 2020 12:32 PM,I think the public is extremely opinionated about it. They have something to say if you are skinny or larger,62
857,May 27 2020 12:32 PM,"I think Americans have come to accept obesity as the standard, even though much of the time it is laziness. There are many people who are obese from medical conditions, but the American standard of lazy obesity has created this healthcare stigma.",23
858,May 27 2020 12:31 PM,they don't make a big deal out of it they make it seem that they do care but they don't when they give pizzas and burgers for kids to eat at their schools...,59
859,May 27 2020 12:31 PM,"that they are lazy, lack self control and have low self esteem.",19
860,May 27 2020 12:31 PM,"Few make fun of people who are obese. But I also depends on the region. In East like New York, overweight is kind of common whereas in west like California over weight people are less common and are subject to humiliation.",69
861,May 27 2020 12:30 PM,They are lazy  and not responsible.,31
862,May 27 2020 12:27 PM,I think most of americans think of obese people as gross and weird and fat. There are few people who are accepting.,20
863,May 27 2020 12:26 PM,They try to sit as far away from obese people like it's contagious. Point make fun of obese people. ,75
864,May 27 2020 12:24 PM,"They think that they are lazy and never move, but always eat.",73
865,May 27 2020 12:24 PM,That they are lazy,61
866,May 27 2020 12:24 PM,I think that America is unaware of the obesity problem that it has,23
867,May 27 2020 12:24 PM,Fat people are lazy. They can do something about it but they just choose no to,63
868,May 27 2020 12:23 PM,"Lazy, unmotivated.",38
869,May 27 2020 12:22 PM,ok,53
870,May 27 2020 12:22 PM,The American public thinks people with obesity are lazy or have no self-control. ,71
871,May 27 2020 12:20 PM,"think they have low self esteem, lack of control, live unhealthy life style",62
872,May 27 2020 12:19 PM,"implies laziness, gluttony.",33
873,May 27 2020 12:19 PM,americans seem to accept more overweight and obesity as a norm,44
874,May 27 2020 12:18 PM,a higher and higher percentage of the population is now obese. it's more accepted in regular life but I think we still have unrealistic standards,65
875,May 27 2020 12:18 PM,"There are ways in which control over body weight is taken from certain people, and this correlates to specific neighborhoods and socioeconomic groups. However, weight isn’t a protected category in the same way as race, religion, or gender because it is something that everyone does have control over and can be changed through diet and exercise. This country has an obesity epidemic and people who are overweight can and should work to reduce their body weight",47
876,May 27 2020 12:17 PM,comfortable,35
877,May 27 2020 12:17 PM,They are looked down on.,28
878,May 27 2020 12:16 PM,they are lazy and lack self-control,50
879,May 27 2020 12:16 PM,"They are lazy, gluttonous, low self control",18
880,May 27 2020 12:16 PM,Obesity will be concerned and treated under their ability,65
881,May 27 2020 12:16 PM,"I don't think there's one universal feeling about people with obesity. some think it's sad, some think it's gross, some don't think one way or another about it. my personal thoughts are that a most people  have the ability to control their weight. if they want to lose weight they have to adjust their eating habits and activity level, unless there is an underlying health issue that prevents that from working. but a majority of obese people have the ability to lose the weight if they put a lot of time and effort into it. but that's not easy and that's why they don't do it",61
882,May 27 2020 12:15 PM,"over eating
lack of exercise",63
883,May 27 2020 12:13 PM,bad news,62
884,May 27 2020 12:13 PM,Their just fat,31
885,May 27 2020 12:12 PM,"I think, as more people become overweight, there is less stigma about it than there used to be.",30
886,May 27 2020 12:10 PM,Every American has an opinion.,73
887,May 27 2020 12:09 PM,They dont,35
888,May 27 2020 12:09 PM,They are burdens to society they lack self control,68
889,May 27 2020 12:08 PM,See question 1,67
890,May 27 2020 12:06 PM,In general I think society has the perception that overweight people are lazy.,30
891,May 27 2020 12:06 PM,I think that most Americans think that people with obesity tend to get it from eating unhealthy foods and large portions,39
892,May 27 2020 12:05 PM,Ugly and lazy,37
893,May 27 2020 12:05 PM,"They think it's unhealthy, and very awful; but for the most part, they don't know what to do about it. They try.",20
894,May 27 2020 12:05 PM,"That they're fat, gross looking and need to quit eating so much and go out, get off their ass and get to work.",59
895,May 27 2020 12:05 PM,It’s unhealthy,35
896,May 27 2020 12:05 PM,"In genera, they think people with obesity are gross, slobs, and lazy",34
897,May 27 2020 12:05 PM,I think some are ok with it but others are digusted and mean about it,27
898,May 27 2020 12:03 PM,People have a notion that they are lazy and undisciplined,26
899,May 27 2020 12:02 PM,"Obese people don't deserve to be seen or have good, fulfilling lives.",42
900,May 27 2020 12:02 PM,It is a disease and people can control it,24
901,May 27 2020 11:59 AM,Negative,56
902,May 27 2020 11:58 AM,"tenous tolerance, micro aggressive",75
903,May 27 2020 11:56 AM,"unhealthy, overeaters",31
904,May 27 2020 11:55 AM,It’s terrible,32
905,May 27 2020 11:55 AM,I think they think people that are obese choose to be that way.,31
906,May 27 2020 11:54 AM,It’s a disease,38
907,May 27 2020 11:53 AM,ok,58
908,May 27 2020 11:53 AM,"Obese individuals are viewed as lazy, greedy, and a burden to society.",58
909,May 27 2020 11:53 AM,NBC do if di d dg by if d tv s tut thx,46
910,May 27 2020 11:52 AM,They hate it,32
911,May 27 2020 11:51 AM,They judge a person as lazy,23
912,May 27 2020 11:51 AM,Tend to think they have little self control,48
913,May 27 2020 11:50 AM,that they are trash and not worth it,34
914,May 27 2020 11:50 AM,"Majority of Americans are overweight and obese. Some people are probably judgemental about obesity and some are probably judgemental about people who lose extreme amounts of weight. Anymore though, I feel obesity has become an American common lifestyle....not that I feel that is healthy for Americans.",33
915,May 27 2020 11:49 AM,"In my opinion the American public think that obese people are lazy, disgusting, unhealthy, unsuccessful, unmotivated, etc.",63
916,May 27 2020 11:47 AM,discriminate,45
917,May 27 2020 11:47 AM,They don't like fat people. They fear becoming fat.  They hate themselves for being fat.,19
918,May 27 2020 11:47 AM,Shameful,51
919,May 27 2020 11:47 AM,I think those people need to make the decision and effort to try and loose weight. It is not good to be obese. A little fat is good but not to much to where it can cause problems.,60
920,May 27 2020 11:47 AM,Hello pick me uo now,75
921,May 27 2020 11:46 AM,"They think they are lazy, uninteresting, poor",34
922,May 27 2020 11:46 AM,I don’t know,57
923,May 27 2020 11:45 AM,They think because people are over weight that they are nasty and that it’s their on fault that they are over weight.,39
924,May 27 2020 11:43 AM,In general I think that they are looked down upon and people can jump to conclusions that they are lazy or that they are not concerned about their appearance when they truly are,71
925,May 27 2020 11:42 AM,People have an eating disorder,42
926,May 27 2020 11:41 AM,People are big because they’re lazy and don’t eat or exercise right,39
927,May 27 2020 11:40 AM,fine,24
928,May 27 2020 11:35 AM,there's a stigma attatched,34
929,May 27 2020 11:34 AM,They are making clothes bigger so must be acceptable,30
930,May 27 2020 11:34 AM,"Mostly they think, ""lazy,"" but to a lesser extent, they may think, unclean, uncaring. I tend to think unmotivated, depressed, unhealthy. ",19
931,May 27 2020 11:33 AM,Most of Americans accepts obesity because of the simple fact that most of America is obese. The rest of us think it’s unhealthy and contributes to the reason why our country is going to shit. ,64
932,May 27 2020 11:31 AM,"they think they are less than. lazy, sloppy, can't control themselves. all not true.",33
933,May 27 2020 11:31 AM,"they think it's an epidemic but not one they want to solve by reevaluating their own life choices, or by stopping stigmatization of those with obesity and choosing to help instead",54
934,May 27 2020 11:31 AM,not sure,43
935,May 27 2020 11:31 AM,not all of them see others with a bias opinion,66
936,May 27 2020 11:31 AM,Think of them as gross,67
937,May 27 2020 11:31 AM,They try to help. There’s a show called 600 pound life and they try to help obese people.,37
938,May 27 2020 11:31 AM,"The American public sees people with obesity as lazy, unmotivated and gross",39
939,May 27 2020 11:31 AM,That they are lazy and eat junk all day long.,60
940,May 27 2020 11:31 AM,Bad,50
941,May 27 2020 11:31 AM,?,22
942,May 27 2020 11:31 AM,75 percent of America is overweight,38
943,May 27 2020 11:30 AM,Slight to significant bias against person based on visual clues.,26
944,May 27 2020 11:30 AM,No one care,37
945,May 27 2020 11:28 AM,depends on the situation and persons involved.,68
946,May 27 2020 11:28 AM,"They are lazy, they eat all the time and do not try to lose the weight. They have no willpower.",27
947,May 27 2020 11:27 AM,they are irresponsible,30
948,May 27 2020 11:27 AM,Most probably do not care. Some may think we have to get some self control and I agree. It’s about will power. This is not a disease. It may be psychiatric but it is not a disease in the true sense of the word. And I am considered obese. I’m 60 pound over weight.,58
949,May 27 2020 11:26 AM,They think they are gross or lazy,68
950,May 27 2020 11:24 AM,it's a problem,33
951,May 27 2020 11:22 AM,na,30
952,May 27 2020 11:18 AM,"Badly, less of them",35
953,May 27 2020 11:17 AM,They think it’s a willpower issue.,51
954,May 27 2020 11:16 AM,the government was more involved to problem,43
955,May 27 2020 11:16 AM,They are lazier than people who are fit,41
956,May 27 2020 11:16 AM,"That they have no self control, that they are lazy, that they are addicted to food, that they are not quality people",33
957,May 27 2020 11:16 AM,Its expected,43
958,May 27 2020 11:14 AM,People think less of them,75
959,May 27 2020 11:13 AM,Obsess ,66
960,May 27 2020 11:13 AM,No,39
961,May 27 2020 11:13 AM,"High risk, disease",73
962,May 27 2020 11:11 AM,our society is obsessed peoples weight,59
963,May 27 2020 11:11 AM,It is a choice,52
964,May 27 2020 11:10 AM,"stupid, lazy, unable to control your eating",25
965,May 27 2020 11:10 AM,Want to be healthier,41
966,May 27 2020 11:09 AM,they do not discriminate,25
967,May 27 2020 11:09 AM,people are quick to judge but it's strange because more Americans are more overweight than than in the past.,32
968,May 27 2020 11:09 AM,"It’s becoming more acceptable, cuz of the whole fat shaming, u can’t address it, cuz then you are considered to be fat shaming",67
969,May 27 2020 11:08 AM,The American public thinks people with obesity are unhealthy.,57
970,May 27 2020 11:07 AM,"They are hypocritically mocked, insulted, laughed at while at the same time unhealthily promoted, particularly women like Ashley Graham.  It IS unhealthy to be that large.  Shouldn't be celebrated.  Victoria's Secret models should NOT be fat, overweight.  Lifeguards should not be overweight, etc.",49
971,May 27 2020 11:05 AM,"they're very complacent. in recent years, there has been a large movement of body acceptance, and while I agree one should not be bullied for their appearance, there's a difference between someone trying to improve someone else's health (hc providers) and someone outright bullying",29
972,May 27 2020 11:05 AM,they think that it is easy to lose weight.,35
973,May 27 2020 11:05 AM,"I think the American public thinks of fat people as lazy, disgusting, dirty, have no work ethic work personal drive or discipline.",68
974,May 27 2020 11:03 AM,That the person does not care enough about their health to do something to change.,73
975,May 27 2020 11:03 AM,Poor eating and drinking habits and lack of exercise,63
976,May 27 2020 11:02 AM,"They are lazy, inept and/or socially awkward.",56
977,May 27 2020 11:02 AM,"People tend to assume they have unhealthy habits, a lot of obese people have health issues that don’t allow them to loose weight. They tend to judge them quickly and assume that they don’t feel comfortable in their own bodies",31
978,May 27 2020 11:01 AM,Very judge mental for the most part,31
979,May 27 2020 11:01 AM,They think obese people are lazy,74
980,May 27 2020 11:01 AM,"Negative impression... lazy, unhealthy, poor, etc... It’s very sad!",57
981,May 27 2020 11:01 AM,Negative,38
982,May 27 2020 11:01 AM,I’m gonna try a,59
983,May 27 2020 11:00 AM,Y it typically,29
984,May 27 2020 11:00 AM,That they are irresponsible and dirty,26
985,May 27 2020 11:00 AM,"I think that people think it is unhealthy, which it is. I’m all about body positivity, but you should not be unhealthy or have a life threatening weight.",25
986,May 27 2020 10:55 AM,Weight too much,43
987,May 27 2020 10:55 AM,The general public is understanding. The media are not understanding.,35
988,May 27 2020 10:54 AM,"I feel like no one wants to be obese, but people are trying to be accepting.",53
989,May 27 2020 10:53 AM,Unhealthy and unattractive,24
990,May 27 2020 10:49 AM,People with obesity have no self control.,33
991,May 27 2020 10:49 AM,"Lazy, unhealthy, unattractive",64
992,May 27 2020 10:48 AM,It is in their control -- people eat too much,63
993,May 27 2020 10:46 AM,People have no self-control.,72
994,May 27 2020 10:46 AM,I think most Americans have very little respect for obese people. Most believe that weight is totally controlled by the individual.,52
995,May 27 2020 10:44 AM,n,28
996,May 27 2020 10:44 AM,Unhealthy,39
997,May 27 2020 10:44 AM,They think down on them,46
998,May 27 2020 10:42 AM,That they have no impulse control and don’t care about themselves. But all they care about is eating food.,45
999,May 27 2020 10:42 AM,Pessimistic,71
1000,May 27 2020 10:41 AM,they often think that obesity is for lazy people,21
1001,May 27 2020 10:40 AM,They will have a lot of health problems,42
1002,May 27 2020 10:40 AM,They have no idea that there could be an underlying medical condition that causes their weight problem. They think overweight people just eat too much,30
1003,May 27 2020 10:38 AM,They are thought to be irresponsible about their weight.,18
1004,May 27 2020 10:35 AM,Obese people are blamed for their problem.,28
1005,May 27 2020 10:30 AM,It’s unhealthy and a choice of the over weight person to change. ,20
1006,May 27 2020 10:30 AM,"I think that they see obese people as lacking self-control, lazy or gluttons",59
1007,May 27 2020 10:29 AM,That they’re lazy or unhealthy,59
1008,May 27 2020 10:29 AM,I dont think overweight individuals are offered the same opportunities and judged by others.,23
1009,May 27 2020 10:28 AM,what is their problem?,45
1010,May 27 2020 10:28 AM,"Obesity creates a negative impression because because people believe it signifies a lack of self control/self control. While this may be true in some cases, in many cases other factors, beyone the control of the obese person, may be the cause. These include genetic factors, health conditions, poverty, inadequate dietary education.",32
1011,May 27 2020 10:27 AM,"unhealthy, lack of knowledge about eating habits and food choices, lazy, unmotivated",26
1012,May 27 2020 10:27 AM,They think they are unhealthy and not responsible people,23
1013,May 27 2020 10:26 AM,it's their fault.,56
1014,May 27 2020 10:26 AM,They are lazy and eat too much,47
1015,May 27 2020 10:26 AM,That it’s not a problem,61
1016,May 27 2020 10:23 AM,meh,37
1017,May 27 2020 10:23 AM,Yes,54
1018,May 27 2020 10:23 AM,"That an obese person is a slob, unhealthy, and unhappy.",64
1019,May 27 2020 10:23 AM,As a bad thing,43
1020,May 27 2020 10:21 AM,lack discipline,33
1021,May 27 2020 10:21 AM,They are lazy and unhealthy,47
1022,May 27 2020 10:18 AM,Yes,37
1023,May 27 2020 10:17 AM,There are many that don't care about people's feelings.,44
1024,May 27 2020 10:16 AM,They do not accept it but do try to offer solutions.,33
1025,May 27 2020 10:16 AM,People with obesity are lazy and undisciplined.,35
1026,May 27 2020 10:13 AM,Very negative,59
1027,May 27 2020 10:10 AM,execise,63
1028,May 27 2020 10:10 AM,They are gluttons.  They are lazy.  They have no pride.  They are stupid. They are unattractive.,47
1029,May 27 2020 10:09 AM,not sure,34
1030,May 27 2020 10:08 AM,they look down on people over weight,27
1031,May 27 2020 10:08 AM,It's not as biased as it used to be since such a large percentage of the population is over weight.,29
1032,May 27 2020 10:06 AM,the are slobs and have no conttol,26
1033,May 27 2020 10:05 AM,That it’s disgusting.,74
1034,May 27 2020 10:05 AM,"Need to get their weight under control for health reasons, leads to many other diseases.",22
1035,May 27 2020 10:05 AM,I just got home from,74
1036,May 27 2020 10:04 AM,disease,24
1037,May 27 2020 10:03 AM,Think over weight people don’t want to lose weight because they are lazy,25
1038,May 27 2020 10:03 AM,Negatively,65
1039,May 27 2020 10:03 AM,"As stated previously, most people see a lack of discipline or laziness.",41
1040,May 27 2020 10:01 AM,"personal choices enhance genetic predisposition.  while some people are truly victims of poor health, its hard to be sympathetic towards someone with a 6 McRib a day haibt.",25
1041,May 27 2020 10:00 AM,Most people believe you shouldn’t be obese as it is unhealthy,60
1042,May 27 2020 09:56 AM,That they can’t control themselves around food.,55
